,story,sent_index,token_index,token,bio,lemma,pos,MatchesNeg,hasPrefix,hasPrefix&Antonym,hasSuffix,hasSuffix&Antonym
0,wisteria01,0,0,1.,O,1.,CD,False,False,False,False,False
1,wisteria01,0,1,The,O,The,DT,False,False,False,False,False
2,wisteria01,0,2,Singular,O,Singular,JJ,False,False,False,False,False
3,wisteria01,0,3,Experience,O,Experience,NN,False,False,False,False,False
4,wisteria01,0,4,of,O,of,IN,False,False,False,False,False
5,wisteria01,0,5,Mr.,O,Mr.,NNP,False,False,False,False,False
6,wisteria01,0,6,John,O,John,NNP,False,False,False,False,False
7,wisteria01,0,7,Scott,O,Scott,NNP,False,False,False,False,False
8,wisteria01,0,8,Eccles,O,Eccles,NNP,False,False,False,False,False
9,wisteria01,1,0,I,O,I,PRP,False,False,False,False,False
10,wisteria01,1,1,find,O,find,VBP,False,False,False,False,False
11,wisteria01,1,2,it,O,it,PRP,False,False,False,False,False
12,wisteria01,1,3,recorded,O,recorded,VBD,False,False,False,False,False
13,wisteria01,1,4,in,O,in,IN,False,False,False,False,False
14,wisteria01,1,5,my,O,my,PRP$,False,False,False,False,False
15,wisteria01,1,6,notebook,O,notebook,NN,False,False,False,False,False
16,wisteria01,1,7,that,O,that,IN,False,False,False,False,False
17,wisteria01,1,8,it,O,it,PRP,False,False,False,False,False
18,wisteria01,1,9,was,O,wa,VBD,False,False,False,False,False
19,wisteria01,1,10,a,O,a,DT,False,False,False,False,False
20,wisteria01,1,11,bleak,O,bleak,JJ,False,False,False,False,False
21,wisteria01,1,12,and,O,and,CC,False,False,False,False,False
22,wisteria01,1,13,windy,O,windy,JJ,False,False,False,False,False
23,wisteria01,1,14,day,O,day,NN,False,False,False,False,False
24,wisteria01,1,15,towards,O,towards,IN,False,False,False,False,False
25,wisteria01,1,16,the,O,the,DT,False,False,False,False,False
26,wisteria01,1,17,end,O,end,NN,False,False,False,False,False
27,wisteria01,1,18,of,O,of,IN,False,False,False,False,False
28,wisteria01,1,19,March,O,March,NNP,False,False,False,False,False
29,wisteria01,1,20,in,O,in,IN,False,False,False,False,False
30,wisteria01,1,21,the,O,the,DT,False,False,False,False,False
31,wisteria01,1,22,year,O,year,NN,False,False,False,False,False
32,wisteria01,1,23,1892,O,1892,CD,False,False,False,False,False
33,wisteria01,1,24,.,O,.,.,False,False,False,False,False
34,wisteria01,2,0,Holmes,O,Holmes,NNP,False,False,False,False,False
35,wisteria01,2,1,had,O,had,VBD,False,False,False,False,False
36,wisteria01,2,2,received,O,received,VBN,False,False,False,False,False
37,wisteria01,2,3,a,O,a,DT,False,False,False,False,False
38,wisteria01,2,4,telegram,O,telegram,NN,False,False,False,False,False
39,wisteria01,2,5,while,O,while,IN,False,False,False,False,False
40,wisteria01,2,6,we,O,we,PRP,False,False,False,False,False
41,wisteria01,2,7,sat,O,sat,VBD,False,False,False,False,False
42,wisteria01,2,8,at,O,at,IN,False,False,False,False,False
43,wisteria01,2,9,our,O,our,PRP$,False,False,False,False,False
44,wisteria01,2,10,lunch,O,lunch,NN,False,False,False,False,False
45,wisteria01,2,11,",",O,",",",",False,False,False,False,False
46,wisteria01,2,12,and,O,and,CC,False,False,False,False,False
47,wisteria01,2,13,he,O,he,PRP,False,False,False,False,False
48,wisteria01,2,14,had,O,had,VBD,False,False,False,False,False
49,wisteria01,2,15,scribbled,O,scribbled,VBN,False,False,False,False,False
50,wisteria01,2,16,a,O,a,DT,False,False,False,False,False
51,wisteria01,2,17,reply,O,reply,NN,False,False,False,False,False
52,wisteria01,2,18,.,O,.,.,False,False,False,False,False
53,wisteria01,3,0,He,O,He,PRP,False,False,False,False,False
54,wisteria01,3,1,made,O,made,VBD,False,False,False,False,False
55,wisteria01,3,2,no,B-NEG,no,DT,True,False,False,False,False
56,wisteria01,3,3,remark,O,remark,NN,False,False,False,False,False
57,wisteria01,3,4,",",O,",",",",False,False,False,False,False
58,wisteria01,3,5,but,O,but,CC,False,False,False,False,False
59,wisteria01,3,6,the,O,the,DT,False,False,False,False,False
60,wisteria01,3,7,matter,O,matter,NN,False,False,False,False,False
61,wisteria01,3,8,remained,O,remained,VBD,False,False,False,False,False
62,wisteria01,3,9,in,O,in,IN,False,False,False,False,False
63,wisteria01,3,10,his,O,his,PRP$,False,False,False,False,False
64,wisteria01,3,11,thoughts,O,thought,NNS,False,False,False,False,False
65,wisteria01,3,12,",",O,",",",",False,False,False,False,False
66,wisteria01,3,13,for,O,for,IN,False,False,False,False,False
67,wisteria01,3,14,he,O,he,PRP,False,False,False,False,False
68,wisteria01,3,15,stood,O,stood,VBD,False,False,False,False,False
69,wisteria01,3,16,in,O,in,IN,False,False,False,False,False
70,wisteria01,3,17,front,O,front,NN,False,False,False,False,False
71,wisteria01,3,18,of,O,of,IN,False,False,False,False,False
72,wisteria01,3,19,the,O,the,DT,False,False,False,False,False
73,wisteria01,3,20,fire,O,fire,NN,False,False,False,False,False
74,wisteria01,3,21,afterwards,O,afterwards,NNS,False,False,False,False,False
75,wisteria01,3,22,with,O,with,IN,False,False,False,False,False
76,wisteria01,3,23,a,O,a,DT,False,False,False,False,False
77,wisteria01,3,24,thoughtful,O,thoughtful,JJ,False,False,False,False,False
78,wisteria01,3,25,face,O,face,NN,False,False,False,False,False
79,wisteria01,3,26,",",O,",",",",False,False,False,False,False
80,wisteria01,3,27,smoking,O,smoking,VBG,False,False,False,False,False
81,wisteria01,3,28,his,O,his,PRP$,False,False,False,False,False
82,wisteria01,3,29,pipe,O,pipe,NN,False,False,False,False,False
83,wisteria01,3,30,",",O,",",",",False,False,False,False,False
84,wisteria01,3,31,and,O,and,CC,False,False,False,False,False
